City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Omboue,GA,81.19,light rain,-1.5746,9.2618,Hotel Olako
2,Hodmezovasarhely,HU,72.18,clear sky,46.4167,20.3333,Hotel Fama
5,Bonfim,BR,86.36,overcast clouds,3.0833,-59.95,
6,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
7,Marsh Harbour,BS,78.64,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
9,Quatre Cocos,MU,80.1,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
11,Lorengau,PG,80.64,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
12,Sao Filipe,CV,71.28,clear sky,14.8961,-24.4956,Hotel Xaguate
13,Rikitea,PF,77.77,few clouds,-23.1203,-134.9692,People ThankYou
19,Hithadhoo,MV,83.34,clear sky,-0.6,73.0833,Scoop Guest House
20,Atuona,PF,77.9,light rain,-9.8,-139.0333,Villa Enata
23,Tila,MX,82.71,clear sky,17.4,-92.4833,
24,Veraval,IN,81.01,scattered clouds,20.9,70.3667,Lords Inn Somnath
34,Pemba,MZ,82.6,light rain,-12.974,40.5178,Guesthouse Samotina
35,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
37,Samarai,PG,80.92,overcast clouds,-10.6167,150.6667,Nuli Sapi
41,Bulawayo,ZW,88.29,few clouds,-20.15,28.5833,4 On Housman Backpackers
42,Florianopolis,BR,76.14,broken clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
43,Sao Paulo De Olivenca,BR,73.96,overcast clouds,-3.3783,-68.8725,
48,Port Blair,IN,82.26,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
49,Kalmunai,LK,81.32,overcast clouds,7.4167,81.8167,VS Villa
52,Balkanabat,TM,76.91,overcast clouds,39.5108,54.3671,Nebitchi Hotel
54,Cidreira,BR,71.4,clear sky,-30.1811,-50.2056,Hotel Castelo
55,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
