City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Omboue,GA,-1.5746,9.2618,81.19,82,100,7.11,light rain
1,Zhigansk,RU,66.7697,123.3711,-8.32,99,9,8.12,clear sky
2,Hodmezovasarhely,HU,46.4167,20.3333,72.18,39,7,12.01,clear sky
3,Punta Arenas,CL,-53.15,-70.9167,42.91,56,0,16.11,clear sky
4,Albany,US,42.6001,-73.9662,48.94,70,100,1.99,overcast clouds
5,Bonfim,BR,3.0833,-59.95,86.36,47,98,7.11,overcast clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,78.76,81,48,7.09,scattered clouds
7,Marsh Harbour,BS,26.5412,-77.0636,78.64,80,40,17.49,scattered clouds
8,Busselton,AU,-33.65,115.3333,61.75,73,100,6.15,overcast clouds
9,Quatre Cocos,MU,-20.2078,57.7625,80.1,77,100,13.44,overcast clouds
10,Bluff,NZ,-46.6,168.3333,48.87,63,95,13.4,overcast clouds
11,Lorengau,PG,-2.0226,147.2712,80.64,84,96,15.19,overcast clouds
12,Sao Filipe,CV,14.8961,-24.4956,71.28,73,5,10.11,clear sky
13,Rikitea,PF,-23.1203,-134.9692,77.77,71,19,15.86,few clouds
14,Hobart,AU,-42.8794,147.3294,52.05,79,100,6.91,overcast clouds
15,Baker City,US,44.7749,-117.8344,31.19,79,0,0.0,clear sky
16,Saskylakh,RU,71.9167,114.0833,-15.52,99,26,6.38,scattered clouds
17,Cape Town,ZA,-33.9258,18.4232,64.35,59,81,8.01,broken clouds
18,Nikolskoye,RU,59.7035,30.7861,34.88,64,92,7.11,overcast clouds
19,Hithadhoo,MV,-0.6,73.0833,83.34,64,8,3.0,clear sky
20,Atuona,PF,-9.8,-139.0333,77.9,77,33,18.16,light rain
21,Mataura,NZ,-46.1927,168.8643,43.27,86,93,4.23,overcast clouds
22,Kodiak,US,57.79,-152.4072,31.51,93,40,3.44,scattered clouds
23,Tila,MX,17.4,-92.4833,82.71,60,1,1.05,clear sky
24,Veraval,IN,20.9,70.3667,81.01,72,43,10.69,scattered clouds
25,Ribeira Grande,PT,38.5167,-28.7,63.0,88,75,13.8,broken clouds
26,Sobolevo,RU,54.4299,31.8996,37.63,79,68,8.9,broken clouds
27,Tuktoyaktuk,CA,69.4541,-133.0374,0.73,92,86,12.24,overcast clouds
28,Tiksi,RU,71.6872,128.8694,-18.6,100,91,2.77,overcast clouds
29,Whitehorse,CA,60.7161,-135.0538,16.11,93,87,6.87,overcast clouds
30,Labytnangi,RU,66.6572,66.4183,18.64,80,100,14.34,overcast clouds
31,Sitka,US,57.0531,-135.33,42.69,61,75,12.66,broken clouds
32,Sistranda,NO,63.7256,8.834,39.16,49,49,14.65,scattered clouds
33,Mount Gambier,AU,-37.8333,140.7667,53.83,96,1,4.97,clear sky
34,Pemba,MZ,-12.974,40.5178,82.6,75,11,9.73,light rain
35,Saint-Philippe,RE,-21.3585,55.7679,80.19,85,100,12.93,light rain
36,Bredasdorp,ZA,-34.5322,20.0403,60.57,53,98,19.8,overcast clouds
37,Samarai,PG,-10.6167,150.6667,80.92,79,99,15.39,overcast clouds
38,New Norfolk,AU,-42.7826,147.0587,51.71,63,0,2.59,clear sky
39,Ancud,CL,-41.8697,-73.8203,59.23,97,100,17.02,light rain
40,Hlotse,LS,-28.8718,28.045,67.84,22,0,14.07,clear sky
41,Bulawayo,ZW,-20.15,28.5833,88.29,21,21,10.13,few clouds
42,Florianopolis,BR,-27.6146,-48.5012,76.14,82,75,3.44,broken clouds
43,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,73.96,97,100,1.81,overcast clouds
44,Hilo,US,19.7297,-155.09,69.62,88,75,4.61,broken clouds
45,Ushuaia,AR,-54.8,-68.3,42.42,75,75,27.63,broken clouds
46,Pevek,RU,69.7008,170.3133,-21.98,100,99,4.85,overcast clouds
47,Kapaa,US,22.0752,-159.319,69.78,95,75,5.75,broken clouds
48,Port Blair,IN,11.6667,92.75,82.26,73,11,7.2,few clouds
49,Kalmunai,LK,7.4167,81.8167,81.32,75,100,2.86,overcast clouds
50,Pisco,PE,-13.7,-76.2167,69.85,78,17,6.91,haze
51,Mirabad,AF,30.4362,61.8383,93.83,8,0,9.84,clear sky
52,Balkanabat,TM,39.5108,54.3671,76.91,25,93,0.63,overcast clouds
53,Parrsboro,CA,45.4001,-64.332,45.41,51,2,8.99,clear sky
54,Cidreira,BR,-30.1811,-50.2056,71.4,68,0,8.19,clear sky
55,San Cristobal,VE,7.7669,-72.225,77.18,61,100,5.77,overcast clouds
56,Mar Del Plata,AR,-38.0023,-57.5575,75.22,56,0,13.8,clear sky
57,Dingle,PH,10.9995,122.6711,76.33,89,100,6.11,overcast clouds
58,Yellowknife,CA,62.456,-114.3525,10.56,92,100,3.0,overcast clouds
59,Barrow,US,71.2906,-156.7887,-23.78,76,0,10.36,clear sky
60,Salina,US,38.8403,-97.6114,50.13,30,0,23.02,clear sky
61,Savannah Bight,HN,16.45,-85.85,80.26,79,8,20.83,clear sky
62,Abadan,IR,30.3392,48.3043,96.85,6,76,4.38,broken clouds
63,Loandjili,CG,-4.7561,11.8578,82.08,77,80,8.55,broken clouds
64,Kaitangata,NZ,-46.2817,169.8464,46.65,71,100,13.0,overcast clouds
65,Boende,CD,-0.2167,20.8667,81.86,68,100,2.93,overcast clouds
66,Slave Lake,CA,55.2834,-114.769,32.02,77,99,11.25,overcast clouds
67,Port Alfred,ZA,-33.5906,26.891,68.18,62,70,10.0,broken clouds
68,Barra Bonita,BR,-22.4947,-48.5581,79.7,63,8,7.61,clear sky
69,Vaini,TO,-21.2,-175.2,73.56,100,100,2.3,overcast clouds
70,Thompson,CA,55.7435,-97.8558,27.14,90,98,9.89,overcast clouds
71,Sumbe,AO,-11.2061,13.8437,81.37,76,69,10.09,broken clouds
72,Sohag,EG,26.557,31.6948,105.35,5,0,19.46,clear sky
73,Grindavik,IS,63.8424,-22.4338,32.47,64,20,21.85,few clouds
74,San Quintin,MX,30.4833,-115.95,60.49,78,0,1.63,clear sky
75,Thinadhoo,MV,0.5333,72.9333,83.53,68,41,3.0,scattered clouds
76,Sarangani,PH,5.4033,125.4636,82.09,78,100,14.34,overcast clouds
