City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-04-03 15:04:44,-53.15,-70.9167,46.51,61,40,32.21
1,Alice Springs,AU,2022-04-03 15:06:54,-23.7,133.8833,56.75,44,0,0.0
2,Mataura,NZ,2022-04-03 15:02:58,-46.1927,168.8643,45.3,98,53,1.83
3,Erdenet,MN,2022-04-03 15:06:54,49.0333,104.0833,34.92,58,40,4.63
4,Luderitz,NA,2022-04-03 15:06:55,-26.6481,15.1594,65.75,74,0,13.35
5,Rikitea,PF,2022-04-03 15:06:55,-23.1203,-134.9692,75.87,64,41,8.79
6,Coruripe,BR,2022-04-03 15:06:55,-10.1256,-36.1756,82.96,70,55,12.17
7,Longyearbyen,SJ,2022-04-03 15:02:33,78.2186,15.6401,8.44,56,20,18.41
8,Hithadhoo,MV,2022-04-03 15:06:56,-0.6,73.0833,83.75,69,25,5.53
9,Hermanus,ZA,2022-04-03 15:06:56,-34.4187,19.2345,72.81,63,31,12.57
10,Dikson,RU,2022-04-03 15:06:03,73.5069,80.5464,-0.2,99,83,9.8
11,Butaritari,KI,2022-04-03 15:04:08,3.0707,172.7902,81.21,71,65,14.83
12,Victoria,HK,2022-04-03 15:05:01,22.2855,114.1577,66.38,68,0,15.01
13,Castro,BR,2022-04-03 15:05:27,-24.7911,-50.0119,66.09,85,100,9.24
14,Panlaitan,PH,2022-04-03 15:06:57,12.1191,119.8486,81.86,71,97,7.61
15,Vrangel,RU,2022-04-03 15:06:58,42.7297,133.0839,38.68,92,0,1.16
16,Flinders,AU,2022-04-03 15:01:27,-34.5833,150.8552,63.37,74,75,1.99
17,Georgetown,MY,2022-04-03 15:04:14,5.4112,100.3354,78.73,89,40,0.0
18,Grenfell,AU,2022-04-03 15:06:58,-33.9,148.1667,52.36,69,6,2.15
19,Northam,GB,2022-04-03 14:57:24,51.0333,-4.2167,47.39,62,57,8.79
20,Catamarca,AR,2022-04-03 15:06:59,-28.4696,-65.7852,80.58,38,0,3.0
21,Albany,US,2022-04-03 15:06:59,42.6001,-73.9662,45.18,56,100,4.23
22,Busselton,AU,2022-04-03 15:06:04,-33.65,115.3333,63.21,82,76,15.19
23,San Patricio,US,2022-04-03 15:02:54,28.017,-97.5169,73.49,65,0,7.4
24,Barrow,US,2022-04-03 15:07:00,71.2906,-156.7887,-7.58,71,100,12.66
25,Bredasdorp,ZA,2022-04-03 15:07:01,-34.5322,20.0403,67.44,70,71,12.82
26,Ushuaia,AR,2022-04-03 15:03:15,-54.8,-68.3,42.46,70,38,8.93
27,Raton,US,2022-04-03 15:07:02,36.9034,-104.4391,53.06,50,0,6.91
28,Chuguyevka,RU,2022-04-03 15:07:02,44.1653,133.8633,32.86,75,0,5.32
29,Codrington,AU,2022-04-03 15:07:03,-38.2667,141.9667,59.05,83,94,5.06
30,Cape Town,ZA,2022-04-03 15:06:39,-33.9258,18.4232,75.34,63,0,11.01
31,Jiexiu,CN,2022-04-03 15:07:05,37.0244,111.9125,55.98,36,27,5.86
32,Bambous Virieux,MU,2022-04-03 15:05:28,-20.3428,57.7575,79.21,78,75,12.66
33,Concordia,AR,2022-04-03 15:01:17,-31.393,-58.0209,63.79,94,100,8.01
34,Killam,CA,2022-04-03 15:06:59,52.7834,-111.8518,37.27,64,4,7.78
35,Kapaa,US,2022-04-03 15:07:06,22.0752,-159.319,72.12,85,20,18.41
36,Saskylakh,RU,2022-04-03 15:07:06,71.9167,114.0833,-5.12,98,100,8.37
37,Upernavik,GL,2022-04-03 15:07:07,72.7868,-56.1549,16.61,81,79,8.81
38,Kruisfontein,ZA,2022-04-03 14:57:25,-34.0033,24.7314,68.88,65,74,6.93
39,Klyuchi,RU,2022-04-03 15:07:08,52.2667,79.1667,39.87,79,36,3.76
40,Sakakah,SA,2022-04-03 14:59:49,29.9697,40.2064,98.17,9,100,6.11
41,Hurghada,EG,2022-04-03 15:07:08,27.2574,33.8129,79.99,40,100,15.68
42,Salinas,US,2022-04-03 15:05:43,36.6777,-121.6555,52.32,89,100,4.61
43,Meulaboh,ID,2022-04-03 15:08:10,4.1363,96.1285,73.62,90,100,7.29
44,Kalamnuri,IN,2022-04-03 15:08:10,19.6667,77.3333,93.81,13,100,7.45
45,Tazovskiy,RU,2022-04-03 15:08:11,67.4667,78.7,-3.6,100,21,6.2
46,Leningradskiy,RU,2022-04-03 15:08:11,69.3833,178.4167,-20.43,100,100,3.09
47,Los Llanos De Aridane,ES,2022-04-03 15:08:12,28.6585,-17.9182,64.15,98,75,23.02
48,Hilo,US,2022-04-03 15:08:12,19.7297,-155.09,71.26,91,100,6.91
